"","permno","nameenddt","ticker","comnam","permco"
"33",22253,2023-12-29,"AAGR","AFRICAN AGRICULTURE HOLDINGS INC",58687
"34",80838,1998-05-08,"AAH","AMBASSADOR APARTMENTS INC",13289
"35",79147,1999-06-30,"AAHS","CHILDRENS BROADCASTING CORP",12134
"36",80670,2011-05-02,"AAI","AIRTRAN HOLDINGS INC",13181
"37",85653,2023-12-13,"AAIC","ARLINGTON ASSET INVESTMENT CORP",32183
"38",11306,2009-04-09,"AAII","ALABAMA AIRCRAFT INDUSTRIES INC",9158
"39",80670,2000-07-13,"AAIR","AIRTRAN HOLDINGS INC",13181
"40",13256,2015-08-21,"AAIT","ISHARES TRUST",37493
"41",11206,1987-11-06,"AAIX","AMERICAN ADVENTURE INC",9056
"42",21020,2023-12-29,"AAL","AMERICAN AIRLINES GROUP INC",20010
"43",11642,2002-08-19,"AALA","AMERALIA INC",9463
"44",11642,1993-02-16,"AALAV","AMERALIA INC",9463
"45",76271,1997-07-23,"AALR","ADVANCED LOGIC RESEARCH INC",10553
"46",63845,1982-01-24,"AALS","ALEXANDER & ALEXANDER SVCS INC",4
"47",63845,1973-05-28,"AALX","ALEXANDER & ALEXANDER INC",4
"48",77162,2001-11-14,"AAM","AAMES FINANCIAL CORP",11230
"49",14127,2023-12-29,"AAMC","ALTISOURCE ASSET MANAGEMENT CORP",54533
"50",85391,1986-12-22,"AAMD","AMERICAN MEDCENTERS INC",7401
"51",15580,2023-12-29,"AAME","ATLANTIC AMERICAN CORP",5
"52",28820,1982-05-07,"AAMN","ALL AMERICAN INDS INC",6
"53",77162,1995-11-19,"AAMS","AAMES FINANCIAL CORP",11230
"54",20064,2023-12-29,"AAN","AARONS CO INC",57533
"55",83729,2009-09-30,"AANB","ABIGAIL ADAMS NATL BANCORP INC",14811
"56",14145,2023-12-29,"AAOI","APPLIED OPTOELECTRONICS INC",54548
"57",76868,2023-12-29,"AAON","AAON INC",10817
"58",89217,2023-12-29,"AAP","ADVANCE AUTO PARTS INC",42402
"59",23307,2023-12-29,"AAPB","GRANITESHARES E T F TRUST",55959
"60",15280,2017-10-04,"AAPC","ATLANTIC ALLIANCE PARTNERS CORP",55221
"61",23308,2023-12-29,"AAPD","DIREXION SHARES E T F TRUST",53101
"62",10013,1987-06-16,"AAPI","ARIZONA APPETITOS STORES INC",7825
"63",14593,2023-12-29,"AAPL","APPLE INC",7
"64",23311,2023-12-29,"AAPU","DIREXION SHARES E T F TRUST",53101
"65",24442,2023-12-29,"AAPY","NEOS ETF TRUST",58526
"66",21193,2022-12-15,"AAQC","ACCELERATE ACQUISITION CORP",58014
"67",47650,1988-01-04,"AAR","ADAMS RUSSELL CO",24955
"68",11639,1993-04-02,"AARC","AMERICAN AIRCRAFT CORP",9460
"69",71247,1987-03-18,"AARE","ADAMS RUSSELL ELECTRONICS CO",8368
"70",10921,1988-04-07,"AARN","AARON BROTHERS ART MARTS INC",8798
"71",81540,2001-08-29,"AAS","AMERISOURCE HEALTH CORP",13650
"72",84287,2001-04-17,"AASI","ADVANCED AERODYNAMICS STRUC INC",15201
"73",81176,2001-01-09,"AASP","ALL AMERICAN SPORTPARK INC",13495
"74",11253,1985-07-03,"AASS","AID AUTO STORES INC",9
"75",78113,1994-09-29,"AAST","AERIAL ASSAULT INC",11859
"76",12513,2023-12-29,"AAT","AMERICAN ASSETS TRUST INC",53645
"77",81624,2022-12-29,"AATC","AUTOSCOPE TECHNOLOGIES CORP",13710
"78",90854,2012-01-10,"AATI","ADVANCED ANALOGIC TCHNLGS INC",47201
"79",86812,2007-05-15,"AATK","AMERICAN ACCESS TECHNOLOGIES INC",16473
"80",82807,2000-02-02,"AATT","AAVID THERMAL TECHNOLOGIES INC",14320
"81",91038,2023-12-29,"AAU","ALMADEN MINERALS LTD",50013
"82",14382,2009-07-31,"AAUK","ANGLO AMERICAN PLC",277
"83",14382,1999-06-20,"AAUKV","ANGLO AMERICAN PLC",277
"84",91037,2018-09-21,"AAV","ADVANTAGE OIL & GAS LTD",50012
"85",14790,2016-05-11,"AAVL","AVALANCHE BIOTECHNOLOGIES INC",54946
"86",91262,2023-03-17,"AAWW","ATLAS AIR WORLDWIDE HOLDINGS INC",13927
"87",58747,1979-03-23,"AAX","ALLIED ARTISTS INDS INC",25614
"88",92766,2023-12-29,"AAXJ","ISHARES TRUST",37493
"89",89031,2021-01-25,"AAXN","AXON ENTERPRISE INC",41562
"90",75278,2023-12-29,"AB","ALLIANCEBERNSTEIN HOLDING L P",20048
"91",15843,1986-12-04,"ABA","AMERICAN BAKERIES CO",22638
"92",12023,2019-01-16,"ABAC","RENMIN TIANLI GROUP INC",53474
"93",82662,1999-04-08,"ABACF","ABACAN RESOURCE CORP NEW",14185
"94",75722,1992-01-22,"ABAE","AMERICAN BODY ARMOR & EQUIP INC",10134
"95",80497,2000-02-01,"ABAG","SAFETY COMPONENTS INTL INC",13050
"96",61903,1980-09-09,"ABAI","A B A INDUSTRIES INC",11
"97",83106,2000-03-20,"ABAN","AMERICAN BANCSHARES INC FL",14342
"98",24250,2023-12-29,"ABAT","AMERICAN BATTERY TECHNOLOGY CO",59654
"99",77279,2018-07-31,"ABAX","ABAXIS INC",11309
"100",88953,2023-05-22,"ABB","A B B LTD",41444
"101",15238,1999-07-16,"ABBBY","A B B AB",6285
"102",90467,2011-09-30,"ABBC","ABINGTON BANCORP INC PA",45990
"103",89265,2007-11-13,"ABBI","ABRAXIS BIOSCIENCE INC",42536
"104",10341,2004-04-28,"ABBK","ABINGTON BANCORP INC NEW",8264
"105",13721,2023-12-29,"ABBV","ABBVIE INC",54287
"106",77360,1995-06-28,"ABBY","ABBEY HEALTHCARE GROUP INC",11367
"107",81540,2023-08-29,"ABC","AMERISOURCEBERGEN CORP",13650
"108",80498,2023-12-29,"ABCB","AMERIS BANCORP",13092
"109",91783,1998-10-07,"ABCC","A B C DISPENSING TECHS INC",7252
"110",93188,2018-12-17,"ABCD","CAMBIUM LEARNING GROUP INC",53309
"111",77766,1996-02-13,"ABCI","ALLIED BANK CAPITAL INC",11609
"112",20276,2023-12-29,"ABCL","ABCELLERA BIOLOGICS INC",57611
"113",19942,2023-12-05,"ABCM","ABCAM PLC",57419
"114",76294,1997-07-02,"ABCN","AMERICAN BANCORP OF NEVADA",10464
"115",89203,2017-11-17,"ABCO","ADVISORY BOARD CO",42385
"116",79932,2001-10-12,"ABCR","A B C N A C O INC",12673
"117",24634,2023-12-29,"ABCS","E A SERIES TRUST",56316
"118",92831,1991-10-31,"ABCV","AFFILIATED BANC CORP",7925
"119",14990,2016-04-29,"ABCW","ANCHOR BANCORP WISCONSIN INC NEW",11619
"120",77893,2004-09-26,"ABCX","AMERICAN BUILDING CONTROL INC",4663
"121",90825,2012-04-30,"ABD","A C C O BRANDS CORP",47179
"122",14644,2020-01-31,"ABDC","ALCENTRA CAPITAL CORP",54854
"123",76731,1992-12-18,"ABDN","AMERICAN BIODYNE INC",11017
"124",83920,1999-11-23,"ABDR","ABACUS DIRECT CORP",14979
"125",80081,2018-04-27,"ABE","ABERDEEN EMG MTS SM CO OP FD INC",30071
"126",12555,1975-12-01,"ABEF","AMERICAN BEEF PACKERS INC DE",16
"127",87656,2023-12-29,"ABEO","ABEONA THERAPEUTICS INC",36949
"128",19171,2023-12-29,"ABEQ","UNIFIED SERIES TRUST",56989
"129",78701,2007-11-18,"ABER","ABER DIAMOND CORP",26102
"130",78701,2001-09-26,"ABERF","ABER DIAMOND CORP",26102
"131",85254,2023-12-29,"ABEV","AMBEV SA",32018
"132",51721,2003-08-15,"ABF","AIRBORNE INC",20031
"133",84508,2005-02-01,"ABFI","AMERICAN BUSINESS FINL SRVCS INC",15340
"134",77595,2014-04-30,"ABFS","ARKANSAS BEST CORP DEL",11512
"135",89327,2023-12-29,"ABG","ASBURY AUTOMOTIVE GROUP INC",42915
"136",11186,1997-01-31,"ABGA","ALLIED BANKSHARES INC GA",9034
"137",14236,2016-04-27,"ABGB","ABENGOA S A",54599
"138",20563,2023-02-27,"ABGI","A B G ACQUISITION CORP I",57902
"139",86235,2006-03-31,"ABGX","ABGENIX INC",16195
"140",12437,2012-05-23,"ABH","ABITIBIBOWATER INC",20325
"141",27713,2008-11-21,"ABI","APPLIED BIOSYSTEMS INC DEL",21387
"142",12539,1997-07-08,"ABIG","AMERICAN BANKERS INS GROUP INC",18
"143",92381,2010-10-15,"ABII","ABRAXIS BIOSCIENCE INC NEW",52822
"144",85450,1998-08-02,"ABIIA","AMERICAN BUSINESS INFO INC",11353
"145",77347,1998-08-02,"ABIIB","AMERICAN BUSINESS INFO INC",11353
"146",14421,2019-12-26,"ABIL","ABILITY INC",54678
"147",85293,2023-12-29,"ABIO","ARCA BIOPHARMA INC",15638
"148",75721,2007-09-14,"ABIX","ABATIX CORP",10133
"149",86070,2002-04-04,"ABIZ","ADELPHIA BUSINESS SOLUTIONS INC",16086
"150",21442,1972-03-30,"ABJ","ABACUS FUND INC DE",23069
"151",76757,2010-11-08,"ABK","AMBAC FINANCIAL GROUP INC",29052
"152",10058,1984-09-11,"ABKC","A B K C O INDUSTRIES INC",20
"153",14940,1982-09-30,"ABKP","ARIZONA BK PHOENIX",21
"154",11241,1995-01-13,"ABKR","ANCHOR BANCORP INC",9093
"155",19826,2023-12-29,"ABL","ABACUS LIFE INC",57170
"156",12547,1980-12-02,"ABLA","AMERICAN BANKERS LIFE ASSURN",22
"157",10050,1978-01-02,"ABLD","AMERICAN BLDGS CO",13
"158",86952,2006-10-12,"ABLE","ABLE ENERGY INC",16599
"159",24161,2023-12-29,"ABLV","ABLE VIEW GLOBAL INC",59634
"160",16973,2018-06-12,"ABLX","ABLYNX N V",56088
"161",47730,2023-12-29,"ABM","A B M INDUSTRIES INC",20068
"162",85671,2009-09-02,"ABMC","AMERICAN BIO MEDICA CORP",15905
"163",75107,2022-12-21,"ABMD","ABIOMED INC",20018
"164",77197,1994-10-12,"ABMI","AMERICAN BIOMED INC",11158
"165",84766,2008-04-24,"ABN","A B N AMRO HOLDING N V",31989
"166",20190,2023-12-29,"ABNB","AIRBNB INC",57588
"167",62770,1981-04-19,"ABNC","ALABAMA BANCORPORATION",25
"168",84182,1998-02-26,"ABND","AUTOBOND ACCEPTANCE CORP",15127
"169",90944,2009-05-29,"ABNJ","AMERICAN BANCORP OF NJ INC",47873
"170",84439,2005-12-02,"ABNK","AMEGY BANCORPORATION INC",15289
"171",85447,1988-04-21,"ABNY","AMERICAN SAVINGS BANK FSB NY",7865
"172",28986,1967-03-31,"ABO","AMERICAN BOOK CO",23591
"173",21695,2023-12-29,"ABOS","ACUMEN PHARMACEUTICALS INC",58544
"174",15660,1979-03-29,"ABOT","ATLANTIC PEPSI COLA BOTTLING",27
"175",86487,1999-09-08,"ABOV","ABOVENET COMMUNICATIONS INC",16342
"176",76888,2008-07-24,"ABP","ABRAXAS PETROLEUM CORP",10924
"177",85451,1998-09-11,"ABPA","AMBASSADOR BANK OF THE CMMWLTH",15762
"178",11544,1985-07-01,"ABPC","ALASKA PACIFIC BANCORPORATION",28
"179",76695,1999-05-17,"ABPCA","AU BON PAIN CO INC",10968
"180",90945,2008-11-03,"ABPI","ACCENTIA BIOPHARMACEUTICALS INC",47874
"181",13996,1989-10-20,"ABQC","A B Q CORP",6551
"182",90102,2023-12-29,"ABR","ARBOR REALTY TRUST INC",45059
"183",83921,1998-08-10,"ABREF","AMERICAN CRAFT BREWING INTL",14950
"184",10568,2006-07-16,"ABRI","ABRAMS INDUSTRIES INC",5580
"185",77866,1995-08-02,"ABRS","AMBERS STORES INC",11680
"186",89559,2005-07-27,"ABRX","ABLE LABORATORIES INC",10716
"187",50032,2006-06-01,"ABS","ALBERTSONS INC",20038
"188",10071,1992-03-08,"ABSB","ALEX BROWN INC",8015
"189",84997,2001-07-18,"ABSC","AURORA BIOSCIENCES CORP",15539
"190",39774,1979-11-25,"ABSH","AMERICAN BANCSHARES INC",1881
"191",21604,2023-12-29,"ABSI","ABSCI CORP",58507
"192",79068,1994-10-26,"ABSO","ABSOLUTE ENTERTAINMENT INC",12110
"193",19943,2023-07-26,"ABST","ABSOLUTE SOFTWARE CORP",57420
"194",78704,1990-12-16,"ABSVF","ABSORPTIVE TECHNOLOGY INC",29218
"195",20482,2023-12-29,"ABT","ABBOTT LABORATORIES",20017
"196",79245,1999-02-25,"ABTC","A B T BUILDING PRODUCTS CORP",12243
"197",80220,2000-10-09,"ABTE","ABLE TELECOM HOLDING CORP",12887
"198",83836,1996-11-03,"ABTG","A B T GLOBAL PHARM CORP",14908
"199",77988,1999-01-21,"ABTI","ALPHA BETA TECHNOLOGY INC",11752
"200",86763,2017-10-08,"ABTL","AUTOBYTEL INC",16449
"201",16466,2023-12-29,"ABTS","ABITS GROUP INC",55792
"202",15774,2022-09-30,"ABTX","ALLEGIANCE BANCSHARES INC",55451
"203",59184,1980-04-17,"ABUD","ANHEUSER BUSCH COS INC",29
"204",68689,1985-12-10,"ABUG","SPECTRUM GROUP INC",6569
"205",12411,2023-12-29,"ABUS","ARBUTUS BIOPHARMA CORP",53584
"206",85254,2013-11-10,"ABV","COMPANHIA DE BEBIDAS DAS AMERS",32018
"207",89263,2012-12-21,"ABVA","ALLIANCE BANKSHARES CORP",42534
"208",21828,2023-12-29,"ABVC","A B V C BIOPHARMA INC",58640
"209",10695,1991-07-11,"ABVE","ABOVE TECHNOLOGIES INC",8597
"210",92923,2012-06-29,"ABVT","ABOVENET INC",53144
"211",24464,2023-12-29,"ABVX","ABIVAX S A",59689
"212",19764,1989-09-13,"ABW","ARMADA CORP",10300
"213",86828,2002-04-03,"ABWG","A B WATLEY GROUP INC",16482
"214",11093,1988-06-09,"ABWY","AFFILIATED BANK CORP WYO",5023
"215",71298,2019-01-01,"ABX","BARRICK GOLD CORP",20065
"216",90716,2008-05-15,"ABXA","A B X HOLDINGS INC",46701
"217",71298,1987-02-24,"ABXFF","AMERICAN BARRICK RESOURCES CORP",20065
"218",14687,2017-11-13,"ABY","ATLANTICA YIELD PLC",54880
"219",48004,1988-07-25,"ABZ","ARKANSAS BEST CORP",24975
"220",15802,2023-12-29,"AC","ASSOCIATED CAPITAL GROUP INC",55471
"221",18144,2023-12-29,"ACA","ARCOSA INC",56541
"222",22881,2023-12-29,"ACAB","ATLANTIC COASTAL ACQ CORP II",59114
"223",23259,2023-12-29,"ACAC","ACRI CAPITAL ACQUISITION CORP",59308
"224",90177,2023-12-29,"ACAD","ACADIA PHARMACEUTICALS",45190
"225",21011,2023-12-29,"ACAH","ATLANTIC COASTAL ACQ CORP",58070
"226",79366,2004-08-03,"ACAI","ATLANTIC COAST AIRLINES HLDG INC",12291
"227",83837,1998-05-19,"ACAJ","PACIFIC COAST APPAREL CO INC",14929
"228",67125,1985-01-01,"ACAL","AIRCAL INC",6325
"229",18546,2021-01-21,"ACAM","ACAMAR PARTNERS ACQUISITION CORP",56639
"230",88828,2010-10-22,"ACAP","AMERICAN PHYSICIANS CAPITAL INC",41053
"231",22440,2023-10-19,"ACAQ","ATHENA CONSUMER ACQ CORP",58787
"232",81536,1998-02-06,"ACAR","AEGIS CONSUMER FUNDING GP INC",13653
"233",85271,2017-01-03,"ACAS","AMERICAN CAPITAL LTD",15674
"234",76207,2017-03-06,"ACAT","ARCTIC CAT INC",10652
"235",22882,2023-12-29,"ACAX","ALSET CAPITAL ACQUISITION CORP",59162
"236",18151,2023-12-29,"ACB","AURORA CANNABIS INC",56545
"237",21264,2023-12-29,"ACBA","ACE GLOBAL BUSINESS ACQ LTD",58192
"238",15709,2022-02-28,"ACBI","ATLANTIC CAPITAL BANCSHARES INC",55423
"239",90300,2022-08-09,"ACC","AMERICAN CAMPUS COMMUNITIES INC",45464
"240",84183,1997-12-30,"ACCB","ACCESS BEYOND INC",15151
"241",85017,1998-04-22,"ACCC","A C C CORP",7930
"242",19496,2023-12-29,"ACCD","ACCOLADE INC",57136
"243",83465,1997-10-21,"ACCI","A C C CONSUMER FINANCE CORP",14636
"244",82734,2014-04-29,"ACCL","ACCELRYS INC",14188
"245",15334,1983-06-14,"ACCM","ASSOCIATED COMMUNICATIONS CORP D",32
"246",15334,1994-12-15,"ACCMA","ASSOCIATED COMMUNICATIONS CORP D",32
"247",15342,1994-12-15,"ACCMB","ASSOCIATED COMMUNICATIONS CORP D",32
"248",90825,2023-12-29,"ACCO","A C C O BRANDS CORP",47179
"249",59248,1999-03-10,"ACCOB","COORS ADOLPH CO",33
"250",77352,1998-12-10,"ACCS","ACCESS HEALTH INC",11356
"251",79111,1998-10-27,"ACCT","ARGENT CAPITAL CORP",12103
"252",13170,2015-01-09,"ACCU","ADVISORSHARES TRUST",53202
"253",78650,1998-06-26,"ACCUF","ACCUGRAPH CORP",26293
"254",79674,1996-12-10,"ACCX","ATCHISON CASTING CORP",12456
"255",89890,2005-10-27,"ACD","ASCONI CORP",44601
"256",23064,2023-12-29,"ACDC","PROFRAC HOLDING CORP",59278
"257",22940,1987-07-21,"ACDG","AMERICAN COMMUNITY DEV GRP INC",905
"258",22500,2023-02-15,"ACDI","ASCENDANT DIGITAL ACQ CORP III",59014
"259",86813,2005-08-18,"ACDO","ACCREDO HEALTH INC",16479
"260",79057,2016-01-14,"ACE","ACE LTD NEW",29796
"261",83838,2007-09-14,"ACEC","ACE COMM CORP",14898
"262",63837,2000-11-21,"ACEE","ACME ELECTRIC CORP",156
"263",85408,2001-04-02,"ACEI","AMERICAN CHAMPION ENTRMT INC",15622
"264",16874,2023-12-29,"ACEL","ACCEL ENTERTAINMENT INC",55976
"265",83346,1999-05-07,"ACEP","PARTS SOURCE INC",14514
"266",91471,2023-11-08,"ACER","ACER THERAPEUTICS INC",51208
"267",17912,2023-12-29,"ACES","ALPS E T F TRUST",53005
"268",17272,2023-12-29,"ACET","ADICET BIO INC",56239
"269",19809,2022-11-22,"ACEV","ACE CONVERGENCE ACQUISITION CORP",57163
"270",78438,1984-06-04,"ACEVF","AMERICAN ENERGY CORP",5514
"271",75858,2010-09-30,"ACF","AMERICREDIT CORP",10372
"272",90399,2018-05-25,"ACFC","ATLANTIC COAST FINANCIAL CORP",45707
"273",77327,2015-07-23,"ACFN","ACORN ENERGY INC",11335
"274",75105,2016-04-18,"ACG","ALLIANCEBERNSTEIN INCOME FD INC",20003
"275",51394,1992-01-22,"ACGC","AMERICAN CONSOLIDATED GRWTH CORP",5753
"276",10483,1989-08-22,"ACGI","AMERICAN CAPACITY GROUP INC",8403
"277",82276,2023-12-29,"ACGL","ARCH CAPITAL GROUP LTD NEW",13971
"278",82824,2023-08-21,"ACGN","ACERAGEN INC",14310
"279",86190,2011-01-09,"ACGY","ACERGY S A",12152
"280",89246,2022-09-01,"ACH","ALUMINUM CORP CHINA LTD",42511
"281",13105,2023-12-29,"ACHC","ACADIA HEALTHCARE CO INC",53929
"282",80062,2002-04-05,"ACHI","AMERICAN COUNTRY HOLDINGS INC NE",29684
"283",20761,2023-12-29,"ACHL","ACHILLES THERAPEUTICS PLC",58071
"284",78617,1988-04-05,"ACHLF","AUSTRALIAN CORPORATE HLDG LTD",26236
"285",91491,2020-01-27,"ACHN","ACHILLION PHARMACEUTICALS INC",51300
"286",11309,1983-08-24,"ACHP","AIR CHAPARRAL INC",39
"287",20207,2023-12-29,"ACHR","ARCHER AVIATION INC",57377
"288",82526,2023-12-29,"ACHV","ACHIEVE LIFE SCIENCES INC",14043
"289",19413,2023-12-29,"ACI","ALBERTSONS COMPANIES INC",57098
"290",16051,2021-02-26,"ACIA","ACACIA COMMUNICATIONS INC",55562
"291",13712,2023-12-29,"ACIC","AMERICAN COASTAL INSURANCE CORP",54284
"292",10576,1991-03-26,"ACIG","ACADEMY INSURANCE GROUP INC",41
"293",20671,2022-12-01,"ACII","ATLAS CREST INVESTMENT CORP II",57852
"294",13252,2019-09-22,"ACIM","SPDR INDEX SHARES FUNDS",43629
"295",18795,2023-12-29,"ACIO","E T F SERIES SOLUTIONS",54066
"296",14649,1986-07-31,"ACIS","APPLIED COMMUNICATION INC",6147
"297",84043,1999-06-10,"ACIT","A C I TELECENTRICS INC",15059
"298",16281,2023-12-29,"ACIU","A C IMMUNE SA",55689
"299",81282,2023-12-29,"ACIW","A C I WORLDWIDE INC",13587
"300",12619,1989-06-21,"ACIX","AMERICAN CARRIERS INC",6085
"301",10292,1962-10-02,"ACJ","AMERICAN CHICLE CO",22181
"302",92286,2008-07-24,"ACK","REALTY FUNDS INC",52761
"303",89350,2011-04-08,"ACL","ALCON INC",42936
"304",87748,2004-12-10,"ACLA","ACLARA BIOSCIENCES INC",18444
"305",76235,1994-06-23,"ACLB","ALLIED CLINICAL LABORATORIES INC",10700
"306",10605,1999-12-15,"ACLE","ACCEL INTERNATIONAL CORP",43
"307",90946,2010-12-21,"ACLI","AMERICAN COMMERCIAL LINES INC",23442
"308",86146,2001-07-17,"ACLNF","A C L N LTD",16183
"309",79088,2002-04-12,"ACLO","ACCELIO CORP",12089
"310",12678,1982-08-27,"ACLP","AMERICAN CLIPPER CORP",44
"311",84288,1999-03-16,"ACLR","ACCENT COLOR SCIENCES INC",15245
"312",88417,2023-12-29,"ACLS","AXCELIS TECHNOLOGIES INC",37913
"313",15828,1995-11-16,"ACLV","AUTOCLAVE ENGINEERS INC",45
"314",22758,2023-12-29,"ACLX","ARCELLX INC",59163
"315",84184,2000-11-20,"ACLY","ACCELR8 TECHNOLOGY CORP NEW",15158
"316",91975,2023-12-29,"ACM","A E C O M",52247
"317",87219,2008-10-31,"ACME","ACME COMMUNICATIONS INC",17164
"318",79027,2000-11-29,"ACMI","ACCUMED INTERNATIONAL INC",11747
"319",82247,1998-07-20,"ACMM","ACCOM INC",13995
"320",11003,2015-02-02,"ACMP","ACCESS MIDSTREAM PARTNERS L P",53459
"321",17045,2023-12-29,"ACMR","A C M RESEARCH INC",56128
"322",10455,1989-12-05,"ACMS","C M S ENHANCEMENTS INC",8370
"323",10664,1995-09-01,"ACMT","ACMAT CORP",47
"324",11647,2004-12-03,"ACMTA","ACMAT CORP",47
"325",89071,2023-12-29,"ACN","ACCENTURE PLC IRELAND",41871
"326",82543,2002-12-02,"ACNAF","AIR CANADA INC",28104
"327",12480,2023-12-29,"ACNB","A C N B CORP",53624
"328",19797,2021-07-21,"ACND","ASCENDANT DIGITAL ACQ CORP",57156
"329",81469,1998-04-14,"ACNS","AMERICAN COMMUNICATIONS SVCS INC",13599
"330",43334,2023-12-29,"ACNT","ASCENT INDUSTRIES CO",21696
"331",81848,1999-03-11,"ACNTF","ACCENT SOFTWARE INTL LTD",13868
"332",11599,2014-05-09,"ACO","AMCOL INTERNATIONAL CORP",9425
"333",75985,1992-08-03,"ACOI","A C O I INC",10299
"334",15326,1982-08-02,"ACOK","ASSOCIATED COCA COLA BOTTLING",48
"335",11599,1998-09-21,"ACOL","AMCOL INTERNATIONAL CORP",9425
"336",93124,2012-12-28,"ACOM","ANCESTRY COM INC",53278
"337",23008,2023-12-29,"ACON","ACLARION INC",59255
"338",91086,2023-12-29,"ACOR","ACORDA THERAPEUTICS INC",50290
"339",12514,2023-12-29,"ACP","ABRDN INCOME CREDIT STRATS FUND",53646
"340",10733,1995-11-20,"ACPI","AMERICAN CONSUMER PRODUCTS INC",8630
"341",85084,1988-05-31,"ACPK","ACTION PACKETS INC",7338
"342",85084,1986-11-11,"ACPKV","ACTION PACKETS INC",7338
"343",10465,1990-04-12,"ACPT","ACCEPTANCE INSURANCE HLDG INC",8379
"344",88497,2016-11-29,"ACPW","ACTIVE POWER INC",38399
"345",76541,1992-01-09,"ACQA","ACQUA GROUP INC",28926
"346",76542,1992-10-13,"ACQN","ACQUISITION CAPABILITY INC",28927
"347",21014,2023-03-10,"ACQR","INDEPENDENCE HOLDINGS CORP",58072
"348",91119,2023-12-29,"ACR","ACRES COMMERCIAL REALTY CORP",50319
"349",10640,1987-03-27,"ACRA","ACCURAY CORP",50
"350",85076,1987-08-24,"ACRB","ACROBE AUTOMATION TECHNOLOGY INC",7731
"351",75899,1991-02-28,"ACRCA","AMERICAN CAPITAL & RESH CORP",10417
"352",13332,2023-12-29,"ACRE","ARES COMMERCIAL REAL ESTATE CORP",54035
"353",11392,1977-09-21,"ACRF","AIRCRAFT INSTRUMENT & DEVELP INC",51
"354",76276,2001-05-08,"ACRG","A C R GROUP INC",5817
"355",83730,2002-12-13,"ACRI","ACACIA RESEARCH CORP",14801
"356",10468,1988-12-12,"ACRL","AMERICAN CRUISE LINES INC",8383
"357",84998,2003-05-02,"ACRN","ACORN PRODUCTS INC",15546
"358",21795,2023-12-18,"ACRO","ACROPOLIS INFRA ACQUISITION CORP",58516
"359",15775,2023-12-29,"ACRS","ACLARIS THERAPEUTICS INC",55452
"360",76542,2002-08-22,"ACRT","ACTRADE FINANCIAL TECHS LTD",28927
"361",87050,2002-09-26,"ACRU","ACCRUE SOFTWARE INC",16688
"362",23510,2023-12-29,"ACRV","ACRIVON THERAPEUTICS INC",59436
"363",12573,2023-12-29,"ACRX","ACELRX PHARMACEUTICALS INC",53673
"364",80913,2010-02-05,"ACS","AFFILIATED COMPUTER SERVICES INC",13331
"365",80913,1997-02-04,"ACSA","AFFILIATED COMPUTER SVCS INC",13331
"366",84999,2000-02-25,"ACSC","ADVANCED COMM SYSTEMS INC",15555
